,AutoML_solution,task,trainings_id,dataset_name,dataset_size_in_mb,absolute_balanced_accuracy,relative_balanced_accuracy,absolute_rmse,relative_rmse,dataset_rows,dataset_cols,runtime,type,missing_values,categorical_features,numerical_features,runtime_limit,failed
17,:mljar,:tabular_classification,64dca22c7e4287dd07d42112,credit-approval.csv,0.049408,0.853097721950181,0.9924458204334364,9.0,9.0,690,16,63.11135,Binary classification,67,10,6,60,0
18,:autogluon,:tabular_classification,64dcb6257e4287dd07d42121,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
19,:evalml,:tabular_classification,64dcb6257e4287dd07d42121,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
20,:flaml,:tabular_classification,64dcb6257e4287dd07d42121,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
21,:gama,:tabular_classification,64dcb6257e4287dd07d42121,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
22,:mljar,:tabular_classification,64dcb6257e4287dd07d42121,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
23,:pycaret,:tabular_classification,64dcb6257e4287dd07d42121,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
24,:tpot,:tabular_classification,64dcb6257e4287dd07d42121,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
25,:lama,:tabular_classification,64dcb6257e4287dd07d42121,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
26,:autokeras,:tabular_classification,64dcb6257e4287dd07d42121,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
27,:autogluon,:tabular_classification,64dcb6257e4287dd07d4212b,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
28,:evalml,:tabular_classification,64dcb6257e4287dd07d4212b,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
29,:flaml,:tabular_classification,64dcb6257e4287dd07d4212b,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
30,:gama,:tabular_classification,64dcb6257e4287dd07d4212b,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
31,:mljar,:tabular_classification,64dcb6257e4287dd07d4212b,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
32,:pycaret,:tabular_classification,64dcb6257e4287dd07d4212b,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
33,:tpot,:tabular_classification,64dcb6257e4287dd07d4212b,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
34,:lama,:tabular_classification,64dcb6257e4287dd07d4212b,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
35,:autokeras,:tabular_classification,64dcb6257e4287dd07d4212b,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
36,:autogluon,:tabular_classification,64dcb8127e4287dd07d42135,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
37,:evalml,:tabular_classification,64dcb8127e4287dd07d42135,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
38,:flaml,:tabular_classification,64dcb8127e4287dd07d42135,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
39,:gama,:tabular_classification,64dcb8127e4287dd07d42135,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
40,:mljar,:tabular_classification,64dcb8127e4287dd07d42135,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
41,:pycaret,:tabular_classification,64dcb8127e4287dd07d42135,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
42,:tpot,:tabular_classification,64dcb8127e4287dd07d42135,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
43,:lama,:tabular_classification,64dcb8127e4287dd07d42135,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
44,:autokeras,:tabular_classification,64dcb8127e4287dd07d42135,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
45,:autokeras,:tabular_classification,64dcb9fcbb9874ed548f15e2,Bioresponse.csv,30.200675999999998,0.0,0.0,9.0,9.0,3751,1777,0.0,Binary classification,0,1,1776,60,1
46,:pycaret,:tabular_classification,64dcb9fcbb9874ed548f15e2,Bioresponse.csv,30.200675999999998,0.7854229758299526,0.9918060140339484,9.0,9.0,3751,1777,12.311200000000001,Binary classification,0,1,1776,60,0
47,:lama,:tabular_classification,64dcb9fcbb9874ed548f15e2,Bioresponse.csv,30.200675999999998,0.7919118907491001,1.0,9.0,9.0,3751,1777,14.473966666666666,Binary classification,0,1,1776,60,0
48,:evalml,:tabular_classification,64dcb9fcbb9874ed548f15e2,Bioresponse.csv,30.200675999999998,0.7714416319067482,0.9741508378880531,9.0,9.0,3751,1777,14.815233333333333,Binary classification,0,1,1776,60,0
49,:gama,:tabular_classification,64dcb9fcbb9874ed548f15e2,Bioresponse.csv,30.200675999999998,0.7720130278269812,0.9748723776539133,9.0,9.0,3751,1777,54.76411666666667,Binary classification,0,1,1776,60,0
50,:autogluon,:tabular_classification,64dcb9fcbb9874ed548f15e2,Bioresponse.csv,30.200675999999998,0.7626349922861551,0.9630301062467305,9.0,9.0,3751,1777,60.96975,Binary classification,0,1,1776,60,0
51,:mljar,:tabular_classification,64dcb9fcbb9874ed548f15e2,Bioresponse.csv,30.200675999999998,0.7741414776298496,0.9775601132817431,9.0,9.0,3751,1777,62.306900000000006,Binary classification,0,1,1776,60,0
52,:tpot,:tabular_classification,64dcb9fcbb9874ed548f15e2,Bioresponse.csv,30.200675999999998,0.7702309868007542,0.9726220755091364,9.0,9.0,3751,1777,63.14506666666667,Binary classification,0,1,1776,60,0
53,:flaml,:tabular_classification,64dcb9fcbb9874ed548f15e2,Bioresponse.csv,30.200675999999998,0.7629635449402892,0.9634449916121003,9.0,9.0,3751,1777,65.96818333333333,Binary classification,0,1,1776,60,0
54,:evalml,:tabular_classification,64dd114bd5d06bd0d8053e1d,profb.csv,0.036694000000000004,0.0,0.0,9.0,9.0,672,10,0.0,Binary classification,1200,5,5,60,1
55,:lama,:tabular_classification,64dd114bd5d06bd0d8053e1d,profb.csv,0.036694000000000004,0.5444444444444444,0.7903225806451613,9.0,9.0,672,10,0.6803166666666667,Binary classification,1200,5,5,60,0
56,:pycaret,:tabular_classification,64dd114bd5d06bd0d8053e1d,profb.csv,0.036694000000000004,0.5833333333333334,0.8467741935483871,9.0,9.0,672,10,0.9944166666666666,Binary classification,1200,5,5,60,0
57,:autogluon,:tabular_classification,64dd114bd5d06bd0d8053e1d,profb.csv,0.036694000000000004,0.6222222222222222,0.9032258064516129,9.0,9.0,672,10,1.91285,Binary classification,1200,5,5,60,0
58,:autokeras,:tabular_classification,64dd114bd5d06bd0d8053e1d,profb.csv,0.036694000000000004,0.5944444444444444,0.8629032258064516,9.0,9.0,672,10,5.892383333333333,Binary classification,1200,5,5,60,0
59,:gama,:tabular_classification,64dd114bd5d06bd0d8053e1d,profb.csv,0.036694000000000004,0.6888888888888889,1.0,9.0,9.0,672,10,54.25926666666667,Binary classification,1200,5,5,60,0
60,:tpot,:tabular_classification,64dd114bd5d06bd0d8053e1d,profb.csv,0.036694000000000004,0.6611111111111112,0.9596774193548389,9.0,9.0,672,10,60.23395,Binary classification,1200,5,5,60,0
61,:flaml,:tabular_classification,64dd114bd5d06bd0d8053e1d,profb.csv,0.036694000000000004,0.5944444444444444,0.8629032258064516,9.0,9.0,672,10,60.357166666666664,Binary classification,1200,5,5,60,0
62,:mljar,:tabular_classification,64dd114bd5d06bd0d8053e1d,profb.csv,0.036694000000000004,0.6111111111111112,0.8870967741935485,9.0,9.0,672,10,69.0695,Binary classification,1200,5,5,60,0
63,:pycaret,:tabular_classification,64dd251bec8a32a23c1dc94e,pc4.csv,0.265839,0.7660590277777778,0.9123804600672007,9.0,9.0,1458,38,1.81155,Binary classification,0,1,37,60,0
64,:lama,:tabular_classification,64dd251bec8a32a23c1dc94e,pc4.csv,0.265839,0.6668836805555556,0.7942620832256397,9.0,9.0,1458,38,2.34115,Binary classification,0,1,37,60,0
65,:evalml,:tabular_classification,64dd251bec8a32a23c1dc94e,pc4.csv,0.265839,0.8396267361111112,1.0,9.0,9.0,1458,38,3.0484166666666668,Binary classification,0,1,37,60,0
66,:autogluon,:tabular_classification,64dd251bec8a32a23c1dc94e,pc4.csv,0.265839,0.623046875,0.7420522098733523,9.0,9.0,1458,38,5.23005,Binary classification,0,1,37,60,0
67,:autokeras,:tabular_classification,64dd251bec8a32a23c1dc94e,pc4.csv,0.265839,0.5737847222222222,0.6833807185319203,9.0,9.0,1458,38,6.722683333333333,Binary classification,0,1,37,60,0
68,:gama,:tabular_classification,64dd251bec8a32a23c1dc94e,pc4.csv,0.265839,0.7065972222222222,0.8415611269061772,9.0,9.0,1458,38,54.18765,Binary classification,0,1,37,60,0
69,:flaml,:tabular_classification,64dd251bec8a32a23c1dc94e,pc4.csv,0.265839,0.6312934027777778,0.7518738692168518,9.0,9.0,1458,38,60.51545,Binary classification,0,1,37,60,0
70,:tpot,:tabular_classification,64dd251bec8a32a23c1dc94e,pc4.csv,0.265839,0.7999131944444444,0.9527009563194623,9.0,9.0,1458,38,60.52193333333333,Binary classification,0,1,37,60,0
71,:mljar,:tabular_classification,64dd251bec8a32a23c1dc94e,pc4.csv,0.265839,0.7443576388888888,0.8865339881106228,9.0,9.0,1458,38,62.143816666666666,Binary classification,0,1,37,60,0
72,:evalml,:tabular_classification,64dd3534373296c8268bc91b,christine.csv,50.242456,0.6937269372693726,0.9082125603864732,9.0,9.0,5418,1637,14.646833333333332,Binary classification,0,38,1599,60,0
73,:lama,:tabular_classification,64dd3534373296c8268bc91b,christine.csv,50.242456,0.7638376383763839,1.0,9.0,9.0,5418,1637,17.983349999999998,Binary classification,0,38,1599,60,0
74,:mljar,:tabular_classification,64dd3534373296c8268bc91b,christine.csv,50.242456,0.7490774907749078,0.9806763285024155,9.0,9.0,5418,1637,47.173766666666666,Binary classification,0,38,1599,60,0
75,:gama,:tabular_classification,64dd3534373296c8268bc91b,christine.csv,50.242456,0.7333948339483395,0.9601449275362318,9.0,9.0,5418,1637,54.90918333333333,Binary classification,0,38,1599,60,0
76,:autogluon,:tabular_classification,64dd3534373296c8268bc91b,christine.csv,50.242456,0.7518450184501846,0.9842995169082126,9.0,9.0,5418,1637,61.44006666666667,Binary classification,0,38,1599,60,0
77,:tpot,:tabular_classification,64dd3534373296c8268bc91b,christine.csv,50.242456,0.7306273062730627,0.9565217391304347,9.0,9.0,5418,1637,65.40575,Binary classification,0,38,1599,60,0
78,:pycaret,:tabular_classification,64dd3534373296c8268bc91b,christine.csv,50.242456,0.7509225092250923,0.9830917874396135,9.0,9.0,5418,1637,68.0055,Binary classification,0,38,1599,60,0
79,:flaml,:tabular_classification,64dd3534373296c8268bc91b,christine.csv,50.242456,0.6872693726937269,0.8997584541062801,9.0,9.0,5418,1637,71.6566,Binary classification,0,38,1599,60,0
80,:autokeras,:tabular_classification,64dd3534373296c8268bc91b,christine.csv,50.242456,0.742619926199262,0.9722222222222221,9.0,9.0,5418,1637,153.14613333333332,Binary classification,0,38,1599,60,0
81,:pycaret,:tabular_classification,64dda9adc624977eafef2e61,kc1.csv,0.223486,0.6048696401637579,0.8077111207020573,9.0,9.0,2109,22,1.3094499999999998,Binary classification,0,1,21,60,0
82,:evalml,:tabular_classification,64dda9adc624977eafef2e61,kc1.csv,0.223486,0.748868778280543,1.0,9.0,9.0,2109,22,2.5128833333333334,Binary classification,0,1,21,60,0
83,:lama,:tabular_classification,64dda9adc624977eafef2e61,kc1.csv,0.223486,0.6209653092006033,0.8292044310171198,9.0,9.0,2109,22,2.8451833333333334,Binary classification,0,1,21,60,0
84,:autokeras,:tabular_classification,64dda9adc624977eafef2e61,kc1.csv,0.223486,0.5482439129497954,0.7320961012803914,9.0,9.0,2109,22,5.6569666666666665,Binary classification,0,1,21,60,0
85,:autogluon,:tabular_classification,64dda9adc624977eafef2e61,kc1.csv,0.223486,0.6538246067657832,0.8730830096389008,9.0,9.0,2109,22,6.19155,Binary classification,0,1,21,60,0
86,:gama,:tabular_classification,64dda9adc624977eafef2e61,kc1.csv,0.223486,0.583214824391295,0.7787944180693426,9.0,9.0,2109,22,54.2027,Binary classification,0,1,21,60,0
87,:tpot,:tabular_classification,64dda9adc624977eafef2e61,kc1.csv,0.223486,0.6636285283344108,0.886174651129334,9.0,9.0,2109,22,60.29315,Binary classification,0,1,21,60,0
88,:flaml,:tabular_classification,64dda9adc624977eafef2e61,kc1.csv,0.223486,0.5538246067657833,0.739548266436484,9.0,9.0,2109,22,60.76156666666667,Binary classification,0,1,21,60,0
89,:mljar,:tabular_classification,64dda9adc624977eafef2e61,kc1.csv,0.223486,0.6181641887524241,0.8254639620198533,9.0,9.0,2109,22,63.46938333333333,Binary classification,0,1,21,60,0
90,:evalml,:tabular_classification,64ddb908fc575d81cf73a88d,kr-vs-kp.csv,0.485873,0.0,0.0,9.0,9.0,3196,37,0.0,Binary classification,0,37,0,60,1
91,:pycaret,:tabular_classification,64ddb908fc575d81cf73a88d,kr-vs-kp.csv,0.485873,0.9953720010958476,0.9998624011007912,9.0,9.0,3196,37,2.59505,Binary classification,0,37,0,60,0
92,:lama,:tabular_classification,64ddb908fc575d81cf73a88d,kr-vs-kp.csv,0.485873,0.9953720010958476,0.9998624011007912,9.0,9.0,3196,37,3.5439,Binary classification,0,37,0,60,0
93,:autogluon,:tabular_classification,64ddb908fc575d81cf73a88d,kr-vs-kp.csv,0.485873,0.9878869711557278,0.9923436041083099,9.0,9.0,3196,37,9.0464,Binary classification,0,37,0,60,0
94,:tpot,:tabular_classification,64ddb908fc575d81cf73a88d,kr-vs-kp.csv,0.485873,0.9953720010958476,0.9998624011007912,9.0,9.0,3196,37,11.360316666666668,Binary classification,0,37,0,60,0
95,:autokeras,:tabular_classification,64ddb908fc575d81cf73a88d,kr-vs-kp.csv,0.485873,0.9772709482994795,0.9816796894196275,9.0,9.0,3196,37,11.838233333333333,Binary classification,0,37,0,60,0
96,:gama,:tabular_classification,64ddb908fc575d81cf73a88d,kr-vs-kp.csv,0.485873,0.9953720010958476,0.9998624011007912,9.0,9.0,3196,37,54.174883333333334,Binary classification,0,37,0,60,0
97,:mljar,:tabular_classification,64ddb908fc575d81cf73a88d,kr-vs-kp.csv,0.485873,0.9955089820359282,1.0,9.0,9.0,3196,37,54.97071666666667,Binary classification,0,37,0,60,0
98,:flaml,:tabular_classification,64ddb908fc575d81cf73a88d,kr-vs-kp.csv,0.485873,0.9953720010958476,0.9998624011007912,9.0,9.0,3196,37,60.530433333333335,Binary classification,0,37,0,60,0
99,:pycaret,:tabular_classification,64ddd931769341cd9606bb79,phoneme.csv,0.28353500000000004,0.8677576923712158,0.992915524898422,9.0,9.0,5404,6,1.62005,Binary classification,0,1,5,60,0
100,:evalml,:tabular_classification,64ddd931769341cd9606bb79,phoneme.csv,0.28353500000000004,0.8316122186070325,0.9515567419446281,9.0,9.0,5404,6,2.2458666666666667,Binary classification,0,1,5,60,0
101,:autokeras,:tabular_classification,64ddd931769341cd9606bb79,phoneme.csv,0.28353500000000004,0.770601763918939,0.8817466691864311,9.0,9.0,5404,6,6.9249833333333335,Binary classification,0,1,5,60,0
102,:lama,:tabular_classification,64ddd931769341cd9606bb79,phoneme.csv,0.28353500000000004,0.8601726757725403,0.9842365113861854,9.0,9.0,5404,6,10.528500000000001,Binary classification,0,1,5,60,0
103,:autogluon,:tabular_classification,64ddd931769341cd9606bb79,phoneme.csv,0.28353500000000004,0.8637133136241267,0.9882878200888218,9.0,9.0,5404,6,12.580733333333335,Binary classification,0,1,5,60,0
104,:mljar,:tabular_classification,64ddd931769341cd9606bb79,phoneme.csv,0.28353500000000004,0.8460947693527343,0.9681281300198432,9.0,9.0,5404,6,46.6472,Binary classification,0,1,5,60,0
105,:gama,:tabular_classification,64ddd931769341cd9606bb79,phoneme.csv,0.28353500000000004,0.8689489157183676,0.9942785599546443,9.0,9.0,5404,6,54.19858333333333,Binary classification,0,1,5,60,0
106,:tpot,:tabular_classification,64ddd931769341cd9606bb79,phoneme.csv,0.28353500000000004,0.8739491634597916,1.0,9.0,9.0,5404,6,60.233716666666666,Binary classification,0,1,5,60,0
107,:flaml,:tabular_classification,64ddd931769341cd9606bb79,phoneme.csv,0.28353500000000004,0.8648715047814095,0.9896130586790135,9.0,9.0,5404,6,64.44721666666666,Binary classification,0,1,5,60,0
108,:pycaret,:tabular_classification,64ddeb4310ff206de3a83b52,mushroom.csv,0.7558360000000001,1.0,1.0,9.0,9.0,8124,23,1.75295,Binary classification,2480,23,0,60,0
109,:lama,:tabular_classification,64ddeb4310ff206de3a83b52,mushroom.csv,0.7558360000000001,0.9980842911877394,0.9980842911877394,9.0,9.0,8124,23,1.9046166666666666,Binary classification,2480,23,0,60,0
110,:evalml,:tabular_classification,64ddeb4310ff206de3a83b52,mushroom.csv,0.7558360000000001,1.0,1.0,9.0,9.0,8124,23,2.2466333333333335,Binary classification,2480,23,0,60,0
111,:autogluon,:tabular_classification,64ddeb4310ff206de3a83b52,mushroom.csv,0.7558360000000001,1.0,1.0,9.0,9.0,8124,23,8.266733333333333,Binary classification,2480,23,0,60,0
112,:autokeras,:tabular_classification,64ddeb4310ff206de3a83b52,mushroom.csv,0.7558360000000001,0.9974457215836526,0.9974457215836526,9.0,9.0,8124,23,12.095883333333335,Binary classification,2480,23,0,60,0
113,:mljar,:tabular_classification,64ddeb4310ff206de3a83b52,mushroom.csv,0.7558360000000001,0.9642931899054432,0.9642931899054432,9.0,9.0,8124,23,47.29088333333333,Binary classification,2480,23,0,60,0
114,:gama,:tabular_classification,64ddeb4310ff206de3a83b52,mushroom.csv,0.7558360000000001,1.0,1.0,9.0,9.0,8124,23,54.50338333333333,Binary classification,2480,23,0,60,0
115,:flaml,:tabular_classification,64ddeb4310ff206de3a83b52,mushroom.csv,0.7558360000000001,1.0,1.0,9.0,9.0,8124,23,60.3305,Binary classification,2480,23,0,60,0
116,:tpot,:tabular_classification,64ddeb4310ff206de3a83b52,mushroom.csv,0.7558360000000001,1.0,1.0,9.0,9.0,8124,23,60.89725,Binary classification,2480,23,0,60,0
117,:evalml,:tabular_classification,64ddfa95ccd1a7c0559291e1,SpeedDating.csv,6.931544,0.0,0.0,9.0,9.0,8378,123,0.0,Binary classification,18372,62,59,60,1
118,:lama,:tabular_classification,64ddfa95ccd1a7c0559291e1,SpeedDating.csv,6.931544,0.6195652173913043,0.6195652173913043,9.0,9.0,8378,123,1.0977999999999999,Binary classification,18372,62,59,60,0
119,:pycaret,:tabular_classification,64ddfa95ccd1a7c0559291e1,SpeedDating.csv,6.931544,1.0,1.0,9.0,9.0,8378,123,4.920183333333333,Binary classification,18372,62,59,60,0
120,:autogluon,:tabular_classification,64ddfa95ccd1a7c0559291e1,SpeedDating.csv,6.931544,1.0,1.0,9.0,9.0,8378,123,22.78335,Binary classification,18372,62,59,60,0
121,:autokeras,:tabular_classification,64ddfa95ccd1a7c0559291e1,SpeedDating.csv,6.931544,1.0,1.0,9.0,9.0,8378,123,38.2084,Binary classification,18372,62,59,60,0
122,:gama,:tabular_classification,64ddfa95ccd1a7c0559291e1,SpeedDating.csv,6.931544,1.0,1.0,9.0,9.0,8378,123,54.289566666666666,Binary classification,18372,62,59,60,0
123,:flaml,:tabular_classification,64ddfa95ccd1a7c0559291e1,SpeedDating.csv,6.931544,1.0,1.0,9.0,9.0,8378,123,60.37618333333333,Binary classification,18372,62,59,60,0
124,:tpot,:tabular_classification,64ddfa95ccd1a7c0559291e1,SpeedDating.csv,6.931544,1.0,1.0,9.0,9.0,8378,123,61.45548333333333,Binary classification,18372,62,59,60,0
125,:mljar,:tabular_classification,64ddfa95ccd1a7c0559291e1,SpeedDating.csv,6.931544,0.9891304347826086,0.9891304347826086,9.0,9.0,8378,123,61.7315,Binary classification,18372,62,59,60,0
126,:evalml,:tabular_classification,64de0971e5addc8943fb2fb8,jm1.csv,1.210127,0.0,0.0,9.0,9.0,10885,22,0.0,Binary classification,25,1,21,60,1
127,:pycaret,:tabular_classification,64de0971e5addc8943fb2fb8,jm1.csv,1.210127,0.5893881310904182,1.0,9.0,9.0,10885,22,2.68755,Binary classification,25,1,21,60,0
128,:lama,:tabular_classification,64de0971e5addc8943fb2fb8,jm1.csv,1.210127,0.5611544267634822,0.9520965848519866,9.0,9.0,10885,22,7.100266666666667,Binary classification,25,1,21,60,0
129,:autokeras,:tabular_classification,64de0971e5addc8943fb2fb8,jm1.csv,1.210127,0.5500347637418231,0.9332301326194201,9.0,9.0,10885,22,10.022733333333333,Binary classification,25,1,21,60,0
130,:autogluon,:tabular_classification,64de0971e5addc8943fb2fb8,jm1.csv,1.210127,0.5658076280036144,0.9599915542188169,9.0,9.0,10885,22,11.777116666666666,Binary classification,25,1,21,60,0
131,:gama,:tabular_classification,64de0971e5addc8943fb2fb8,jm1.csv,1.210127,0.5805876289775402,0.9850684096800587,9.0,9.0,10885,22,54.2025,Binary classification,25,1,21,60,0
132,:tpot,:tabular_classification,64de0971e5addc8943fb2fb8,jm1.csv,1.210127,0.5776428559834216,0.9800720874964569,9.0,9.0,10885,22,60.652433333333335,Binary classification,25,1,21,60,0
133,:mljar,:tabular_classification,64de0971e5addc8943fb2fb8,jm1.csv,1.210127,0.5757957785725494,0.9769381977666876,9.0,9.0,10885,22,61.89535,Binary classification,25,1,21,60,0
134,:flaml,:tabular_classification,64de0971e5addc8943fb2fb8,jm1.csv,1.210127,0.5558864348362452,0.9431585156080561,9.0,9.0,10885,22,63.37231666666666,Binary classification,25,1,21,60,0
135,:mljar,:tabular_classification,64de1a10a3b9e3ab431b32c1,eeg-eye-state.csv,1.736656,0.0,0.0,9.0,9.0,14980,15,0.0,Binary classification,0,1,14,60,1
136,:pycaret,:tabular_classification,64de1a10a3b9e3ab431b32c1,eeg-eye-state.csv,1.736656,0.972630083378554,0.993376927561295,9.0,9.0,14980,15,1.9915999999999998,Binary classification,0,1,14,60,0
137,:evalml,:tabular_classification,64de1a10a3b9e3ab431b32c1,eeg-eye-state.csv,1.736656,0.8568178798925513,0.8750943730330567,9.0,9.0,14980,15,2.7523,Binary classification,0,1,14,60,0
138,:autokeras,:tabular_classification,64de1a10a3b9e3ab431b32c1,eeg-eye-state.csv,1.736656,0.5093641569038929,0.520229231896073,9.0,9.0,14980,15,14.021833333333332,Binary classification,0,1,14,60,0
139,:lama,:tabular_classification,64de1a10a3b9e3ab431b32c1,eeg-eye-state.csv,1.736656,0.9609696950592072,0.9814678154324487,9.0,9.0,14980,15,16.491916666666665,Binary classification,0,1,14,60,0
140,:autogluon,:tabular_classification,64de1a10a3b9e3ab431b32c1,eeg-eye-state.csv,1.736656,0.9791148318356117,1.0,9.0,9.0,14980,15,23.800966666666667,Binary classification,0,1,14,60,0
